哎,āi,hey
促使,cù shǐ,precipitate; impel; to urge
催,cuī,to urge; hurry; to hasten
存在,cún zài,to exist; be
措施,cuò shī,measure; step
达到,dá dào,to achieve; attain; reach
大方,dà fang,generous; liberal
打工,dǎ gōng,do manual work
打交道,dǎ jiāo dào,make contact with; have dealings with
打喷嚏,dǎ pēn tì,to sneeze
大厦,dà shà,large building; edifice
打听,dǎ ting,to ask about; inquire about
大象,dà xiàng,elephant
大型,dà xíng,large-scale
答应,dā ying,answer; reply; to agree
呆,dāi,slow-witted; stupid; to stay
代表,dài biǎo,to stand for; on behalf of representative
贷款,dài kuǎn,to provide a loan; make an advance to; extend credit to
代替,dài tì,instead
待遇,dài yù,treatment
淡,dàn,thin; light in colour; tasteless
单纯,dān chún,simple; pure; alone
单调,dān diào,monotonous; dull; drab
单独,dān dú,alone; by oneself; on one's own; single-handed
担任,dān rèn,assume the office of; to hold the post of
单位,dān wèi,unit
耽误,dān wu,delay; hold up
胆小鬼,dǎn xiǎo guǐ,coward
单元,dān yuán,unit; cell
挡,dǎng,to block; hinder; resist
当地,dāng dì,local area
当心,dāng xīn,be careful
到达,dào dá,to arrive; get to reach
道德,dào dé,morality; ethics
道理,dào lǐ,reason; principle; truth
倒霉,dǎo méi,fall on hard times; have bad luck
导演,dǎo yǎn,director
岛屿,dǎo yǔ,islands and islets
导致,dǎo zhì,to cause; lead to; result in
等待,děng dài,to wait for; to await
登记,dēng jì,to register; check in
等于,děng yú,equal to; equivalent to; be worth
滴,dī,to drip; to drop; droplet
递,dì,to hand over; to pass on; progressively
地道,dì dao,tunnel; underpass; typical [of a place]
地理,dì lǐ,geographical features of a place; geography
地区,dì qū,area; district; region
的确,dí què,really; and no mistake; indeed
敌人,dí rén,enemy; foe
地毯,dì tǎn,carpet; rug
地位,dì wèi,position; standing; status
地震,dì zhèn,earthquake; tremour
电池,diàn chí,battery; cell
电台,diàn tái,transceiver; radio station
点心,diǎn xin,snack; dim sum
钓,diào,fish with a hook and line; angle
顶,dǐng,"apex; [measure word for something with a top (e.g. hat, tent, etc.)]"
洞,dòng,hole; cavity
冻,dòng,frozen; jelly
动画片,dòng huà piān,cartoon
逗,dòu,to tease; play with; amuse
豆腐,dòu fu,bean curd; tofu
度过,dù guò,spend; pass
独立,dú lì,stand alone; independent; on one's own
独特,dú tè,unique; distinctive
断,duàn,to break
堆,duī,heap; pile; crowd
对比,duì bǐ,contrast; comparison; ratio
对待,duì dài,to treat; handle; be in a position related to another
对方,duì fāng,counterpart; the other party
兑换,duì huàn,exchange; convert
对手,duì shǒu,opponent; adversary; rival
对象,duì xiàng,target; object; partner
吨,dūn,ton
蹲,dūn,squat on the heels; to crouch
顿,dùn,"[measure word for occurences, and therefore of meals]"
朵,duǒ,stem; [measure word for flowers]
躲藏,duǒ cáng,to hide oneself; go into hiding
多亏,duō kuī,thanks to; owing to; fortunately
多余,duō yú,unnecessary; surplus; superfluous
恶劣,è liè,odious; vile; disgusting
耳环,ěr huán,earrings
发表,fā biǎo,to issue; to publish; report
发愁,fā chóu,to worry; to be anxious; sullen
发达,fā dá,developed; advanced; prosperous
发抖,fā dǒu,to shiver; shake; tremble
发挥,fā huī,bring into play; give free rein to
罚款,fá kuǎn,(impose a) fine
发明,fā míng,invent; expound
发票,fā piào,bill; receipt
发言,fā yán,speak; make a statement; take the floor
法院,fǎ yuàn,court of law
翻,fān,turn over; turn around; reverse
反而,fǎn ér,on the contrary; instead
反复,fǎn fù,repeatedly; again and again; over and over
繁荣,fán róng,flourishing; prosperous; booming
范围,fàn wéi,range
反映,fǎn yìng,to mirror
反应,fǎn yìng,reaction; response; repercussion
反正,fǎn zhèng,anyway; anyhow; in any case
方,fāng,square; honest; just now
妨碍,fáng ài,to hinder; hamper; impede
方案,fāng àn,scheme; plan; programme
仿佛,fǎng fú,to seem as if; be more or less the same; be alike
非,fēi,un-; non-; short for Africa
废话,fèi huà,superfluous words; nonsense; rubbish
肥皂,féi zào,soap
分别,fēn bié,to part; distinguish; differentiate
分布,fēn bù,to distribute; spread; scatter
奋斗,fèn dòu,struggle; to fight for; to strive for
纷纷,fēn fēn,one after another; in succession
分配,fēn pèi,distribute; allocate; assign
分手,fēn shǒu,part company; say good-bye; separate
分析,fēn xī,analysis
讽刺,fěng cì,satire; sarcasm; to mock
风格,fēng gé,style; form; manner
风景,fēng jǐng,scenery
疯狂,fēng kuáng,insane; frenzied; crazy
风俗,fēng sú,custom
风险,fēng xiǎn,risk; hazard; danger
否定,fǒu dìng,to negate; to deny
否认,fǒu rèn,to deny; repudiate
扶,fú,hold up; support with the hand; to  help somebody up
幅,fú,"width of cloth; [measure word (for paintings, pictures, textiles etc.)]"
辅导,fǔ dǎo,to coach; train; tutor
妇女,fù nǚ,woman
复制,fù zhì,to duplicate; reproduce; copy
服装,fú zhuāng,dress; clothing; costume
盖,gài,cover; lid
改革,gǎi gé,reform
改进,gǎi jìn,to improve; make better; mend
概括,gài kuò,to summarise; generalise; epitomise
概念,gài niàn,concept; notion; idea
改善,gǎi shàn,to improve
改正,gǎi zhèng,to correct; to amend; put right
干脆,gān cuì,clear-cut; straightforward; frank
干活儿,gàn huó er,to work [often manual] on a job
感激,gǎn jī,to feel grateful; be thankful
赶紧,gǎn jǐn,at once; losing no time; hasten
赶快,gǎn kuài,at once; quickly
感受,gǎn shòu,be affected by; feeling; perception
感想,gǎn xiǎng,impression; reflection; thought
干燥,gān zào,dull; dry
钢铁,gāng tiě,iron and steel
搞,gǎo,to make/do; carry on; be engaged in
告别,gào bié,bid farewell to; to say good-bye to
高档,gāo dàng,top; superior quality
高级,gāo jí,advanced; high level
隔壁,gé bì,next door
个别,gè bié,individually; separately
个人,gè rén,oneself; personal; individual
格外,gé wài,especially; exceptionally
个性,gè xìng,individual character; personality
各自,gè zì,each; by oneself; respective
根,gēn,"root; descendants; completely; [measure word for long, slender objects]"
根本,gēn běn,root; basic; fundamental
公布,gōng bù,to announce; make public
工厂,gōng chǎng,factory; plant; works
工程师,gōng chéng shī,engineer
工具,gōng jù,tool
公开,gōng kāi,open; overt; to make public
功能,gōng néng,function
公平,gōng píng,fair; just
工人,gōng rén,(manual) worker; labourer
恭喜,gōng xǐ,congratulate
贡献,gòng xiàn,to dedicate; devote; contribution
工业,gōng yè,industry
公寓,gōng yù,flats; apartment
公元,gōng yuán,the Christian/Common era
公主,gōng zhǔ,princess
构成,gòu chéng,to constitute; form; consist of
沟通,gōu tōng,to communicate; link up; connect
古代,gǔ dài,ancient; archaic; antiquity
古典,gǔ diǎn,classical
固定,gù dìng,fixed; fasten
姑姑,gū gu,aunt [father's sister]
姑娘,gū niang,girl
股票,gǔ piào,shares; stock; equity
骨头,gǔ tou,bone
鼓舞,gǔ wǔ,to inspire; hearten; embolden
鼓掌,gǔ zhǎng,applaud
挂号,guà hào,register; send by registered mail
乖,guāi,obeident; well-behaved [child]
怪不得,guài bu de,no wonder; so that's why
拐弯,guǎi wān,to turn a corner; turn round; pursue a new course
官,guān,government official
关闭,guān bì,to close; to shut
观察,guān chá,observe; watch; survey
观点,guān diǎn,point of view; standpoint
冠军,guàn jūn,champion
观念,guān niàn,sense; concept; perception
管子,guǎn zi,tube; pipe; valve
广场,guǎng chǎng,(public) square
广大,guǎng dà,vast; wide; extensive
广泛,guǎng fàn,extensive; wide-ranging
光滑,guāng huá,smooth; glossy; slick
光临,guāng lín,to honour with your presence
光明,guāng míng,light; bright; openhearted
光盘,guāng pán,laser disc (eg CD or DVD)
规矩,guī ju,rule; established practice; custom
规律,guī lǜ,law; regular pattern
规模,guī mó,scale; scope; dimensions
归纳,guī nà,induce; conclude; sum up
柜台,guì tái,counter; bar
规则,guī zé,rule; regulation
滚,gǔn,to roll; trundle
锅,guō,pan; pot; wok
过分,guò fèn,excessive; go too far
过敏,guò mǐn,allergy; irritability
过期,guò qī,exceed the time limit; be overdue; expire
国庆节,guó qìng jié,National Day
果然,guǒ rán,really
果实,guǒ shí,fruit; gains
国王,guó wáng,king
哈,hā,ha
海关,hǎi guān,customs [import/export]
海鲜,hǎi xiān,seafood
喊,hǎn,shout; cry out; yell
行业,háng yè,trade; profession; industry
豪华,háo huá,luxurious; sumptuous
好客,hào kè,be hospitable
好奇,hào qí,curious
何必,hé bì,there is no need
合法,hé fǎ,legal; legitimate; rightful
