哎,āi,hey
清淡,qīng dàn,light; mild; delicate
情景,qíng jǐng,scene; sight; circumstances
请求,qǐng qiú,request; demand; beg
青少年,qīng shào nián,youngsters
轻视,qīng shì,despise; look down on
情绪,qíng xù,mood; sentiments; feeling
轻易,qīng yì,easily
庆祝,qìng zhù,celebration(s); to celebrate
球迷,qiú mí,fan (of a ball sport)
娶,qǔ,marry [a woman]
趋势,qū shì,trend; tendency
去世,qù shì,die; pass away
取消,qǔ xiāo,cancel; call off; abolish
圈,quān,circle; ring
劝,quàn,advise; urge; try to persuade
权力,quán lì,power; authority
权利,quán lì,(legal) right; interest
全面,quán miàn,all-round; entire; comprehensive;
确定,què dìng,define; fix; determine
缺乏,quē fá,be short of; lack; deficiency
确认,què rèn,affirm; confirm; acknowledge
群,qún,group
燃烧,rán shāo,burn; kindle; set on fire
绕,rào,wind; coil; move round
热爱,rè ài,have deep love for; love heartily
热烈,rè liè,warm; heartily; fervent
热心,rè xīn,enthusiastic; ardent; earnest
忍不住,rěn bu zhù,unbearable; unable to restrain
人才,rén cái,a talented person; talent
人口,rén kǒu,population
人类,rén lèi,humanity
人民币,rén mín bì,Renminbi [Chinese currency]
人生,rén shēng,[human] life
人事,rén shì,human affairs matters; ways of the world
人物,rén wù,character; figure; personage
人员,rén yuán,personnel; staff
日常,rì cháng,day-to-day; everyday; usual
日程,rì chéng,programme; schedule; agenda for the day
日历,rì lì,calendar
日期,rì qī,date
日用品,rì yòng pǐn,articles for everyday use
日子,rì zi,life
如何,rú hé,how
如今,rú jīn,nowadays; these days
软,ruǎn,soft
软件,ruǎn jiàn,software
弱,ruò,weak; feeble
洒,sǎ,sprinkle; spray; spill
嗓子,sǎng zi,throat; larynx
色彩,sè cǎi,colour; hue; tint
杀,shā,kill; slaughter; in the extreme
傻,shǎ,stupid; muddleheaded; silly
沙漠,shā mò,desert
沙滩,shā tān,beach
晒,shài,shine upon; dry in the sun; bask
删除,shān chú,to delete; strike out; cut out
闪电,shǎn diàn,lightning
善良,shàn liáng,good and honest; kindhearted
善于,shàn yú,be good at; be adept in
扇子,shàn zi,fan
上当,shàng dàng,be taken in; be fooled; be duped
伤害,shāng hài,to injure
商品,shāng pǐn,goods; merchandise; wares
商务,shāng wù,commercial affairs
商业,shāng yè,commerce; trade; business
蛇,shé,snake; serpent
设备,shè bèi,equipment; device
舍不得,shě bu de,hate to part with; be loath to leave
射击,shè jī,shoot; fire
设计,shè jì,design
设施,shè shī,facilities
摄影,shè yǐng,take a photograph; shoot a film
伸,shēn,stretch; extend
身材,shēn cái,stature; figure
身份,shēn fèn,identity
神话,shén huà,myth; fairy tale
深刻,shēn kè,deep; profound
神秘,shén mì,mysterious; mystical
升,shēng,litre; to promote; to rise
生产,shēng chǎn,produce; manufacture; give birth to
声调,shēng diào,tone; pitch of voice
生动,shēng dòng,lively; vivid
胜利,shèng lì,win; victory; triumph
省略,shěng lüè,leave out; omit; abbreviation
生长,shēng zhǎng,to grow
绳子,shéng zi,cord; rope; string
诗,shī,poetry; verse
士兵,shì bīng,private; rank-and-file soldier
时差,shí chā,time difference
市场,shì chǎng,market
时代,shí dài,times; age; era
似的,shì de,as; -like
实话,shí huà,truth
实践,shí jiàn,put into practice; carry out
使劲儿,shǐ jìn er,exert all one's strength
试卷,shì juàn,examination paper; test paper
时刻,shí kè,time; hour; moment
时髦,shí máo,fashionable; stylish; in vogue
失眠,shī mián,lose sleep; wakefulness; insomnia
时期,shí qī,period
失去,shī qù,lose
湿润,shī rùn,moist
时尚,shí shàng,vogue; trend; fashion
事实,shì shí,fact
石头,shí tou,rock; stone
食物,shí wù,food
事物,shì wù,thing; object
实习,shí xí,practice; fieldwork; internship
实现,shí xiàn,realise; achieve; bring about
事先,shì xiān,in advance; beforehand
实验,shí yàn,experiment; test; trial run
失业,shī yè,lose one's job; be out of work; be unemployed
实用,shí yòng,practical; pragmatic; functional
始终,shǐ zhōng,from beginning to end; from start to finish; throughout
狮子,shī zi,lion
首,shǒu,"first (occasion, thing etc.)"
手工,shǒu gōng,by hand; manual; handmade
收获,shōu huò,gather in the crops; harvest; reap
收据,shōu jù,receipt; acquittance
寿命,shòu mìng,life span; lifetime
受伤,shòu shāng,be injured; be wounded
手术,shǒu shù,surgical operation; operation
手套,shǒu tào,gloves
手续,shǒu xù,procedures; routine; process
手指,shǒu zhǐ,finger
数,shǔ,frequently; repeatedly
鼠标,shǔ biāo,mouse [in computing]
蔬菜,shū cài,vegetables
书架,shū jià,bookcase
数据,shù jù,data
熟练,shú liàn,skilled; practised; proficient
数码,shù mǎ,numerical code; digit; figure
输入,shū rù,to import; input; entry
舒适,shū shì,comfortable; cosy; snug
属于,shǔ yú,belong to; be part of; pertain to
梳子,shū zi,comb
甩,shuǎi,to move backward and forward; to swing
摔倒,shuāi dǎo,to fall down
双方,shuāng fāng,both sides; mutual
税,shuì,tax; duty
说不定,shuō bu dìng,perhaps; maybe
说服,shuō fú,to convince; persuade
撕,sī,tear; rip
丝绸,sī chóu,silk
丝毫,sī háo,the slightest amount
似乎,sì hū,it seems; as if; it looks like
思考,sī kǎo,ponder; reflect on; deliberate
私人,sī rén,private; personal
思想,sī xiǎng,thought; idea
搜索,sōu suǒ,search for; hunt for; scout around
宿舍,sù shè,dormitory; digs
碎,suì,to break to pieces; smash; fragmentary
随身,suí shēn,carry ... with one; with one
随时,suí shí,at any time
随手,suí shǒu,conveniently; without extra trouble
损失,sǔn shī,lose; loss; wastage
锁,suǒ,lock
所,suǒ,"[2nd syllable of many places]; [measure word for houses, buildings, institutions]"
缩短,suō duǎn,shorten; curtail; cut down
太极拳,tài jí quán,taijiquan.[a kind of traditional Chinese shadow boxing]
台阶,tái jiē,step; altar; bench
太太,tài tai,Mrs; Madam
谈判,tán pàn,negotiations; talks
坦率,tǎn shuài,candid; frank; outspoken
烫,tàng,burn; scald; heat up in hot water
逃,táo,run away; flee; escape
桃,táo,peach
套,tào,cover; case; set
逃避,táo bì,escape; evade; shirk
讨价还价,tǎo jià huán jià,bargain/barter with somebody for something
淘气,táo qì,naughty; mischievous
特色,tè sè,characteristic; distinguishing feature
特殊,tè shū,special; particular; exceptional
特征,tè zhēng,characteristic; feature; property
疼爱,téng ài,be very fond of; love dearly
提倡,tí chàng,advocate; promote; recommend
提纲,tí gāng,outline; syllabus; synopsis
体会,tǐ huì,know from experience
题目,tí mù,topic; subject; title
体贴,tǐ tiē,show consideration for
提问,tí wèn,ask a question; put questions to; quiz
体现,tǐ xiàn,embody; reflect; give expression to
体验,tǐ yàn,experience; learn through practice
天空,tiān kōng,sky; the heavens
天真,tiān zhēn,innocent; naive
调皮,tiáo pí,naughty; mischievous
挑战,tiǎo zhàn,throw down the gauntlet; challenge
调整,tiáo zhěng,to adjust; tune-up; trim
通常,tōng cháng,general; usual; normal
痛苦,tòng kǔ,pain; agony; sore
痛快,tòng kuài,very happy; delighted; joyful
统一,tǒng yī,unify; unite; integrate
偷,tōu,steal
透明,tòu míng,transparent
投入,tóu rù,"invest, put into"
投资,tóu zī,invest
吐,tù,vomit; throw up; cough up
突出,tū chū,protruding; sticking out; outstanding
土地,tǔ dì,territory; local god of the land
土豆,tǔ dòu,potato
兔子,tù zi,rabbit; hare
团,tuán,dumpling; [something shaped like a ball]; [measure word for ball-like things]
退,tuì,to retreat; draw back
退步,tuì bù,fall behind; to do less well than before
推辞,tuī cí,decline
推广,tuī guǎng,popularise; spread; generalisation
推荐,tuī jiàn,recommend
退休,tuì xiū,retire
歪,wāi,askew; oblique; slanting
外公,wài gōng,grandfather
外交,wài jiāo,diplomacy; foreign affairs
玩具,wán jù,toy
完美,wán měi,perfect; flawless
完善,wán shàn,perfect; to improve and perfect
万一,wàn yī,just in case; if by any chance
完整,wán zhěng,complete; integrated; whole
往返,wǎng fǎn,go there and back; come and go
网络,wǎng luò,network
王子,wáng zǐ,prince; king's son
胃,wèi,stomach
尾巴,wěi ba,tail; appendage
未必,wèi bì,may not; not necessarily
伟大,wěi dà,great; mighty
违反,wéi fǎn,to violate; transgress; infringe
危害,wēi hài,harm; detriment; damage
围巾,wéi jīn,scarf; muffler; neckerchief
胃口,wèi kǒu,appetite; belly
未来,wèi lái,coming; approaching; future
委屈,wěi qū,feel wronged; nurse a grievance
围绕,wéi rào,center on; revolve round
微笑,wēi xiào,smile
威胁,wēi xié,threaten; menace
维修,wéi xiū,keep in good repair; service; maintain
唯一,wéi yī,only; sole; unique
位于,wèi yú,be located; be situated
位置,wèi zhi,position
闻,wén,hear; smell
吻,wěn,kiss
稳定,wěn dìng,stabilise; steady
问候,wèn hòu,send one's greetings to
文件,wén jiàn,file; document
文具,wén jù,stationery; writing materials
文明,wén míng,civilisation; culture; civilised
温暖,wēn nuǎn,warm
温柔,wēn róu,meek; pleasingly affectionate; gentle and soft
文学,wén xué,literature
文字,wén zì,writing
卧室,wò shì,bedroom
握手,wò shǒu,to shake hands
雾,wù,fog
勿,wù,do not
物理,wù lǐ,physics
无奈,wú nài,cannot help but; have no alternative; have no choice
无数,wú shù,innumerable; countless; myriad
武术,wǔ shù,martial arts
无所谓,wú suǒ wèi,to be indifferent
物质,wù zhì,matter; substance; material
屋子,wū zi,room
系,xì,tie; fasten; system; department
细节,xì jié,details; particulars; minutiae
戏剧,xì jù,play; theatre; script
吸取,xī qǔ,absorb; suck up; assimilate
吸收,xī shōu,absorb; soak up; assimilate
系统,xì tǒng,system
瞎,xiā,blind; aimlessly; groundlessly
吓,xià,threaten; intimidate; to scare
夏令营,xià lìng yíng,summer camp
下载,xià zǎi,download
县,xiàn,county
现代,xiàn dài,modern
显得,xiǎn de,look; seem; appear
显然,xiǎn rán,obvious; evident; clear
显示,xiǎn shì,display; demonstrate; exhibit
现实,xiàn shí,reality; actual
现象,xiàn xiàng,appearance; phenomenon
鲜艳,xiān yàn,brightly coloured
限制,xiàn zhì,to restrict
项,xiàng,nape (of the neck); sum (of money); term [mathematics]
香肠,xiāng cháng,sausage
相处,xiāng chǔ,get along with; get on
相当,xiāng dāng,match; correspond to; be equivalent to
相对,xiāng duì,opposite; face to face; relatively
相关,xiāng guān,be related to; be bound up with; correlation
项链,xiàng liàn,necklace
项目,xiàng mù,project; item; clause
想念,xiǎng niàn,long to see again; miss
象棋,xiàng qí,Chinese chess
享受,xiǎng shòu,enjoy
相似,xiāng sì,resemble; be similar; be alike
想象,xiǎng xiàng,imagine; think; visualize
象征,xiàng zhēng,emblem; symbol; signify
消费,xiāo fèi,consume
消化,xiāo huà,digest
消极,xiāo jí,negative; passive; inactive
效率,xiào lǜ,efficiency; productivity
小麦,xiǎo mài,wheat
小气,xiǎo qi,stingy; mean
消失,xiāo shī,disappear; vanish; dissolve
销售,xiāo shòu,sell; sales
孝顺,xiào shun,filial piety
歇,xiē,have a rest
斜,xié,oblique; slanting; bevel
写作,xiě zuò,writing; pen and ink; penmanship
信号,xìn hào,signal
心理,xīn lǐ,psychology; mentality; mind
信任,xìn rèn,to trust
欣赏,xīn shǎng,appreciate; enjoy; admire
心脏,xīn zàng,heart
形成,xíng chéng,form; shape
行动,xíng dòng,operation; move about; mobile
幸亏,xìng kuī,fortunately; luckily
行人,xíng rén,pedestrian
形容,xíng róng,appearance; countenance
形势,xíng shì,terrain; topographical features; circumstances
形式,xíng shì,form; shape; layout
行为,xíng wéi,action; behaviour; conduct
形象,xíng xiàng,image; figure; vivid
幸运,xìng yùn,good fortune; good luck
性质,xìng zhì,properties; quality; nature
形状,xíng zhuàng,form; appearance; fashion
胸,xiōng,chest; bosom; thorax
兄弟,xiōng dì,brothers
修改,xiū gǎi,revise; amend; modify
休闲,xiū xián,enjoy free time; lie fallow
叙述,xù shù,narrate; recount; relate
虚心,xū xīn,modest; with an open mind
宣布,xuān bù,declare; proclaim; announce
宣传,xuān chuán,propagate; disseminate; give publicity to
血,xuè,blood
学历,xué lì,record of formal schooling; educational background
学术,xué shù,learning; science
学问,xué wèn,learning; knowledge; scholarship
训练,xùn liàn,train; drill
迅速,xùn sù,rapid; swift; prompt
询问,xún wèn,ask about; enquire
寻找,xún zhǎo,seek; look for; search
牙齿,yá chǐ,tooth
押金,yā jīn,cash pledge; deposit; security
延长,yán cháng,lengthen; extend; prolong
宴会,yàn huì,banquet; feast; dinner party
演讲,yǎn jiǎng,give a lecture; make a speech
严肃,yán sù,serious; solemn; earnest
痒,yǎng,itch; tickle
样式,yàng shì,pattern; type; form
阳台,yáng tái,balcony; terrace; gallery
腰,yāo,waist; small of the back
摇,yáo,shake; wave; rock; turn
咬,yǎo,bite; snap at
要不,yào bù,otherwise; or else; or
夜,yè,night; night-time; evening
业务,yè wù,business; professional work
业余,yè yú,spare time; amateur
乙,yǐ,second(ly); the second of the ten Heavenly Stems
亿,yì,100 million
一辈子,yí bèi zi,all one's life
一旦,yí dàn,in a single day; in a very short time; in case [something happens]
移动,yí dòng,shift; move; removal
遗憾,yí hàn,regret; pity
以及,yǐ jí,as well as; along with; and
以来,yǐ lái,since
一律,yí lǜ,same; alike; uniform
议论,yì lùn,comment; discuss
移民,yí mín,migrate; migrant
依然,yī rán,still; as before
意外,yì wài,unexpected; unforeseen
疑问,yí wèn,query; problem; doubt
义务,yì wù,duty; obligation
意义,yì yì,meaning; sense; significance
一再,yí zài,time and again; again and again; repeatedly
一致,yí zhì,identical; unanimous
银,yín,silver
因而,yīn ér,thus; as a result; with the result that
印刷,yìn shuā,print; printing
因素,yīn sù,factor; element
硬,yìng,hard
应付,yìng fu,deal with; cope with; handle
硬件,yìng jiàn,hardware
迎接,yíng jiē,welcome; greet; reception
英俊,yīng jùn,handsome; talented; brilliant
英雄,yīng xióng,hero
营养,yíng yǎng,nutrition; nourishment
营业,yíng yè,do business
应用,yìng yòng,use; app; application
影子,yǐng zi,shadow; reflection; trace
拥抱,yōng bào,embrace; hug
用功,yòng gōng,hardworking; diligent; studious
拥挤,yōng jǐ,crowd; push and squeeze
勇气,yǒng qì,courage; nerve
用途,yòng tú,use
幼儿园,yòu ér yuán,kindergarten; nursery school
优惠,yōu huì,discount
悠久,yōu jiǔ,long-standing; age-old
游览,yóu lǎn,go sightseeing; tour; visit
有利,yǒu lì,advantageous; beneficial; favourable
优美,yōu měi,graceful; fine; exquisite
优势,yōu shì,superiority
犹豫,yóu yù,hesitate; be irresolute
油炸,yóu zhá,deep-fry
预报,yù bào,forecast; prediction
预订,yù dìng,subscribe; book; place an order
预防,yù fáng,prevent; take precautions against; guard against
娱乐,yú lè,amusement; entertainment; recreation
玉米,yù mǐ,maize; corn
与其,yǔ qí,rather than; better than
语气,yǔ qì,tone; manner of speaking; mood
圆,yuán,round
元旦,yuán dàn,New Year's Day
员工,yuán gōng,staff
原料,yuán liào,raw material; crude material
愿望,yuàn wàng,desire; wish; aspiration
原则,yuán zé,principle
乐器,yuè qì,musical instrument
晕,yūn,dizzy; giddy; faint
运气,yùn qi,fortune; luck
运输,yùn shū,transport; carriage; conveyance
运用,yùn yòng,utilise; apply; put to use
灾害,zāi hài,damage; disaster; calamity
在乎,zài hu,care about; mind; take to heart
再三,zài sān,again and again; repeatedly
在于,zài yú,to be in/at
赞成,zàn chéng,approve of; agree with; endorse
赞美,zàn měi,praise; eulogize
造成,zào chéng,give rise to; bring about; cause
糟糕,zāo gāo,how terrible; what bad luck; too bad
则,zé,standard; norm; criterion
责备,zé bèi,reproach; blame; reprove
摘,zhāi,pick; pluck; strip
窄,zhǎi,narrow
占,zhàn,to occupy
展开,zhǎn kāi,develop; spread; unfold
展览,zhǎn lǎn,put on display; exhibit; show
粘贴,zhān tiē,paste; stick
战争,zhàn zhēng,war; warfare
涨,zhǎng,swell up; rise; be more than expected
长辈,zhǎng bèi,elder member of a family
账户,zhàng hù,(bank) account
掌握,zhǎng wò,grasp; master; know well
照常,zhào cháng,as usual
招待,zhāo dài,receive; entertain; serve
着火,zháo huǒ,to burn
召开,zhào kāi,convene
着凉,zháo liáng,catch cold; catch a chill
哲学,zhé xué,philosophy
阵,zhèn,battle array; position; front
振动,zhèn dòng,vibrate; vibrant
诊断,zhěn duàn,diagnosis
针对,zhēn duì,be directed against; be aimed at
真实,zhēn shí,true; real; authentic
珍惜,zhēn xī,treasure; value; cherish
睁,zhēng,open (eyes)
正,zhèng,straight; upright; correct
挣,zhèng,to make (money)
政府,zhèng fǔ,government
整个,zhěng gè,whole; total; entire
证件,zhèng jiàn,credentials; papers
证据,zhèng jù,evidence; proof; testimony
争论,zhēng lùn,argue; debate
整齐,zhěng qí,tidy
征求,zhēng qiú,solicit; seek; ask for
争取,zhēng qǔ,strive for; fight for
整体,zhěng tǐ,ensemble; whole; entirety
政治,zhèng zhì,politics; political affairs
支,zhī,branch; the twelve Earthly Branches
直,zhí,straight; direct
指导,zhǐ dǎo,guide; direct; conduct
制定,zhì dìng,draw up; draft; formulate
制度,zhì dù,system; institution
指挥,zhǐ huī,command; direct; conduct
智慧,zhì huì,wisdom; intelligence; wit
至今,zhì jīn,up to now; hitherto; so far
治疗,zhì liáo,treat; cure; remedy
支票,zhī piào,check/cheque
秩序,zhì xù,order; sequence
至于,zhì yú,go so far as to
志愿者,zhì yuàn zhě,volunteer
制造,zhì zào,to manufacture
执照,zhí zhào,license; permit
制作,zhì zuò,manufacture
重大,zhòng dà,important
中介,zhōng jiè,intermediary
种类,zhǒng lèi,kind
重量,zhòng liàng,weight; scale; heft
中心,zhōng xīn,centre
中旬,zhōng xún,[the middle ten days of a month]
周到,zhōu dao,attentive; considerate; thorough
猪,zhū,pig
煮,zhǔ,boil; cook; stew
逐步,zhú bù,step by step; progressively; gradually
注册,zhù cè,register
主持,zhǔ chí,take charge of; manage; direct
主动,zhǔ dòng,take the initiative
祝福,zhù fú,blessing; benediction; wish happiness to
主观,zhǔ guān,subjective
逐渐,zhú jiàn,gradually
主人,zhǔ rén,owner
主任,zhǔ rèn,director
主题,zhǔ tí,theme; subject; topic
主席,zhǔ xí,chairperson
主张,zhǔ zhāng,claim; assertionl; proposal
竹子,zhú zi,bamboo
抓,zhuā,to grab
抓紧,zhuā jǐn,firmly grasp; pay close attention to
转变,zhuǎn biàn,change; convert; turn
转告,zhuǎn gào,pass on; communicate; transmit
专家,zhuān jiā,specialist; expert
专心,zhuān xīn,engrossed; concentrating
装,zhuāng,dress; attire; clothing
撞,zhuàng,to hit
状况,zhuàng kuàng,condition; state; status
装饰,zhuāng shì,ornament; decorate; embellish
状态,zhuàng tài,status; condition; state of affairs
装修,zhuāng xiū,to decroate
追,zhuī,chase
追求,zhuī qiú,seek; pursue; woo
紫,zǐ,purple
自从,zì cóng,since
自动,zì dòng,voluntarily; of one's own accord; spontaneous
资格,zī gé,qualification; seniority
自豪,zì háo,be proud of
资金,zī jīn,fund
自觉,zì jué,be aware of; conscientious
资料,zī liào,means; resources; materials
字母,zì mǔ,letters [of an alphabet]
字幕,zì mù,captions; subtitles
姿势,zī shì,posture; gesture
自私,zì sī,selfish; self-centred; self-seeking
咨询,zī xún,seek advice from; consult
自由,zì yóu,freedom; liberty
资源,zī yuán,(natural) resources
自愿,zì yuàn,of one's own free will; voluntarily
总裁,zǒng cái,president; director general
总共,zǒng gòng,in all; altogether
综合,zōng hé,synthesise; comprehensive; multiple
总理,zǒng lǐ,prime minister
总算,zǒng suàn,at long last; finally
总统,zǒng tǒng,president
总之,zǒng zhī,in a word; in short; in brief
组,zǔ,group; set; series
组成,zǔ chéng,to form
组合,zǔ hé,make up; compose; constitute
组织,zǔ zhī,organisation
阻止,zǔ zhǐ,arrest; stop; prevent
醉,zuì,drunk; intoxicated
最初,zuì chū,initial; first; prime
尊敬,zūn jìng,respect; honour; esteem
遵守,zūn shǒu,observe; abide by; comply with
作品,zuò pǐn,works; opus
作为,zuò wéi,to act as; conduct 
作文,zuò wén,write a composition
